"model_name","train_loss","train_accuracy","val_loss","val_accuracy","test_loss","test_accuracy"
"news_conv1d_lstm_50_32_32_32",0.290204763412476,0.936242878437042,0.825411081314087,0.761216044425964,1.29957866668701,0.649043560028076
"news_conv1d_lstm_50_64_64_64",0.331704318523407,0.90702086687088,0.994557976722717,0.716351807117462,1.56920301914215,0.592587649822235
"news_conv1d_lstm_50_128_64_128",0.311596870422363,0.90853887796402,1.14848279953003,0.693919718265533,1.75200510025024,0.574256122112274
"news_conv1d_lstm_50_32_128_32",0.130796626210213,0.968627452850342,0.814962923526764,0.788075566291809,1.2834255695343,0.680658876895905
"news_conv1d_lstm_50_32_128_64",0.232416421175003,0.943073987960815,0.858582854270935,0.766233742237091,1.39546549320221,0.646652519702911
"news_conv1d_lstm_50_128_64_64",0.256311535835266,0.929285287857056,0.961258292198181,0.72845333814621,1.54413819313049,0.607863962650299
"news_conv1d_lstm_50_64_128_64",0.200004950165749,0.951423168182373,0.875647366046906,0.756198346614838,1.4895099401474,0.635626971721649
"news_conv1d_lstm_50_32_32_128",0.309204548597336,0.915749549865723,1.09238052368164,0.708087384700775,1.73087286949158,0.580233812332153
"news_conv1d_lstm_50_256_64_128",0.285902321338654,0.918912053108215,1.25180459022522,0.667060196399689,2.21491599082947,0.496413379907608
"news_conv1d_lstm_64_64_64_32",0.221622452139854,0.95015811920166,0.771812319755554,0.776859521865845,1.20594298839569,0.682784259319305
"news_conv1d_lstm_64_256_256_128",0.19292163848877,0.946995556354523,1.03479433059692,0.719893753528595,1.75088441371918,0.586078643798828
"news_conv1d_lstm_64_256_32_128",0.466750085353851,0.871726751327515,1.34447872638702,0.611570239067078,1.82770788669586,0.500797033309937
"news_conv1d_lstm_64_256_32_32",0.366869568824768,0.912713468074799,1.01650786399841,0.690968096256256,1.44238126277924,0.588204026222229
"news_conv1d_lstm_64_256_64_32",0.165866762399673,0.962175846099854,0.848766505718231,0.775088548660278,1.49776601791382,0.623273134231567
"news_conv1d_lstm_64_32_128_64",0.234575361013412,0.946489572525024,0.850449085235596,0.758264482021332,1.37123191356659,0.63549417257309
"news_conv1d_lstm_64_32_128_32",0.165683776140213,0.966350436210632,0.713966608047485,0.796930313110352,1.25902390480042,0.66777366399765
"news_conv1d_lstm_64_128_256_32",0.189334273338318,0.95762175321579,0.743431746959686,0.793683588504791,1.21806573867798,0.677603602409363
"news_conv1d_lstm_64_64_256_64",0.206866443157196,0.948134064674377,0.899136245250702,0.755312860012054,1.40694558620453,0.64120614528656
"news_conv1d_lstm_128_32_32_64",0.0991841778159142,0.978368103504181,0.844878852367401,0.787780404090881,1.38822376728058,0.667640805244446
"news_conv1d_lstm_128_64_64_64",0.0764095857739449,0.982163190841675,0.68246328830719,0.819657623767853,1.2246835231781,0.712406992912292
"news_conv1d_lstm_128_256_64_128",0.133191511034966,0.96432638168335,0.821094930171967,0.786304593086243,1.34899711608887,0.677205085754395
"news_conv1d_lstm_128_32_32_32",0.134177580475807,0.973814070224762,0.693266153335571,0.814344763755798,1.21800637245178,0.681057393550873
"news_conv1d_lstm_128_32_128_32",0.104806341230869,0.978368103504181,0.663473844528198,0.817296326160431,1.17841637134552,0.695005297660828
"news_conv1d_lstm_128_64_128_128",0.0972708836197853,0.977862119674683,0.90327650308609,0.781877219676971,1.42404925823212,0.670430421829224
"news_conv1d_lstm_128_64_64_64",0.101996041834354,0.978241622447968,0.683922410011292,0.812573790550232,1.18101763725281,0.70603084564209
"news_conv1d_lstm_128_256_64_128",0.159823581576347,0.957368731498718,1.03517997264862,0.73819363117218,1.55268180370331,0.635759830474854
"news_conv1d_lstm_128_32_32_128",0.161782771348953,0.96432638168335,0.979603588581085,0.746458113193512,1.56398391723633,0.620616376399994
